ID,Title,Author,Genre,Published_Date
1,Synchronized directional emulation,Kerry Warren,Fantasy,12/03/72
2,Right-sized systematic benchmark,Michael Johnson,Romance,24/04/60
3,Automated uniform neural-net,Michael Johnson,Science Fiction,19/11/19
4,Open-source upward-trending open system,Michael Johnson,Mystery,30/07/09
5,Realigned 24hour knowledgebase,Kerry Warren,Mystery,05/06/89
6,Managed 5thgeneration forecast,Kerry Warren,Mystery,29/06/26
7,Devolved object-oriented extranet,Kerry Warren,Horror,05/01/43
8,Right-sized intangible time-frame,Michael Johnson,Thriller,14/09/30
9,Synergistic encompassing infrastructure,Michael Johnson,Thriller,04/05/24
10,Pre-emptive responsive time-frame,Danielle Lee,Romance,30/12/71
11,Cloned bottom-line instruction set,Danielle Lee,Mystery,27/07/47
12,Networked leadingedge service-desk,Kerry Warren,Romance,09/02/83
13,Ameliorated uniform projection,Kerry Warren,Horror,10/11/87
14,Object-based zero-defect data-warehouse,Danielle Lee,Science Fiction,25/11/67
15,Re-engineered tertiary success,Danielle Lee,Horror,02/03/54
16,Virtual 24/7 synergy,Michael Johnson,Horror,28/12/89
17,Realigned explicit flexibility,Michael Johnson,Fantasy,03/10/91
18,Implemented homogeneous matrices,Kerry Warren,Mystery,22/08/88
19,User-centric real-time time-frame,Andrew Adams,Horror,07/09/81
20,Inverse 5thgeneration monitoring,Danielle Lee,Thriller,04/06/54
21,Face-to-face radical functionalities,Kerry Warren,Thriller,03/10/56
22,Quality-focused disintermediate function,Michael Johnson,Horror,14/10/20
23,Ameliorated analyzing Graphic Interface,Michael Johnson,Romance,28/02/90
24,Innovative tertiary strategy,Danielle Lee,Romance,04/09/46
25,Optimized real-time complexity,Danielle Lee,Mystery,23/08/27
26,Re-contextualized asymmetric knowledge user,Danielle Lee,Romance,11/06/83
27,Progressive user-facing data-warehouse,Andrew Adams,Mystery,03/11/62
28,Re-contextualized discrete framework,Andrew Adams,Science Fiction,26/05/06
29,Fundamental 6thgeneration emulation,Danielle Lee,Thriller,26/04/46
30,Grass-roots responsive website,Michael Johnson,Thriller,26/01/01
31,Multi-lateral radical info-mediaries,Andrew Adams,Romance,30/01/42
32,Optimized 3rdgeneration orchestration,Danielle Lee,Thriller,12/01/71
33,Monitored local capacity,Danielle Lee,Fantasy,28/03/87
34,Upgradable high-level monitoring,Andrew Adams,Horror,09/04/28
35,Right-sized discrete Graphic Interface,Kerry Warren,Science Fiction,06/12/96
36,Reduced interactive contingency,Andrew Adams,Horror,24/05/53
37,Ameliorated demand-driven structure,Andrew Adams,Fantasy,25/11/46
38,Customer-focused heuristic artificial intelligence,Michael Johnson,Science Fiction,13/11/53
39,Object-based content-based neural-net,Andrew Adams,Horror,12/04/21
40,Sharable stable Graphic Interface,Danielle Lee,Science Fiction,29/10/46
41,Polarized non-volatile middleware,Kerry Warren,Fantasy,23/02/76
42,Profound optimizing monitoring,Michael Johnson,Romance,27/11/81
43,User-friendly client-server architecture,Michael Johnson,Romance,18/03/46
44,Robust full-range secured line,Kerry Warren,Horror,26/04/62
45,Visionary zero tolerance implementation,Danielle Lee,Horror,20/09/64
46,Integrated even-keeled moratorium,Kerry Warren,Thriller,19/03/63
47,Up-sized stable support,Michael Johnson,Mystery,17/04/12
48,Proactive holistic portal,Danielle Lee,Romance,29/04/63
49,Total analyzing leverage,Andrew Adams,Horror,16/09/13
50,Business-focused multimedia pricing structure,Kerry Warren,Science Fiction,01/06/83
51,Virtual responsive hierarchy,Danielle Lee,Mystery,29/06/84
52,Advanced transitional encoding,Danielle Lee,Science Fiction,15/10/35
53,Compatible tertiary productivity,Andrew Adams,Science Fiction,16/10/33
54,Exclusive real-time infrastructure,Michael Johnson,Horror,07/01/88
55,Adaptive executive leverage,Andrew Adams,Fantasy,12/03/77
56,Persevering regional concept,Kerry Warren,Science Fiction,06/08/77
57,Pre-emptive multi-state capability,Danielle Lee,Fantasy,10/09/78
58,Vision-oriented intermediate functionalities,Andrew Adams,Romance,05/01/58
59,Virtual multi-state capability,Michael Johnson,Romance,26/01/20
60,Right-sized real-time definition,Kerry Warren,Science Fiction,19/12/84
61,Front-line user-facing encoding,Andrew Adams,Mystery,03/01/64
62,Implemented non-volatile system engine,Andrew Adams,Science Fiction,19/10/74
63,Vision-oriented global firmware,Kerry Warren,Thriller,19/09/61
64,Networked dynamic firmware,Michael Johnson,Horror,12/03/93
65,Open-architected intangible help-desk,Andrew Adams,Horror,05/01/75
66,Assimilated coherent definition,Andrew Adams,Horror,19/07/28
67,Inverse 24/7 extranet,Michael Johnson,Mystery,03/11/97
68,Seamless discrete forecast,Michael Johnson,Romance,20/07/32
69,Advanced full-range encryption,Danielle Lee,Mystery,03/01/26
70,Quality-focused hybrid ability,Michael Johnson,Horror,19/05/47
71,Persistent analyzing circuit,Michael Johnson,Thriller,12/02/56
72,Up-sized real-time standardization,Danielle Lee,Horror,10/04/18
73,Progressive bifurcated database,Andrew Adams,Science Fiction,26/04/78
74,Intuitive fault-tolerant process improvement,Michael Johnson,Mystery,28/01/56
75,Mandatory intangible hub,Andrew Adams,Fantasy,01/07/88
76,Centralized maximized encoding,Danielle Lee,Science Fiction,28/03/89
77,Secured maximized hierarchy,Andrew Adams,Science Fiction,11/10/30
78,Reactive uniform project,Danielle Lee,Romance,18/10/57
79,Profound 6thgeneration toolset,Andrew Adams,Horror,15/07/78
80,Switchable empowering superstructure,Michael Johnson,Horror,30/04/28
81,Optional static project,Andrew Adams,Romance,26/12/62
82,Seamless empowering architecture,Kerry Warren,Science Fiction,05/06/01
83,Upgradable tertiary open architecture,Kerry Warren,Science Fiction,12/07/79
84,Reduced value-added superstructure,Andrew Adams,Romance,22/04/47
85,Enhanced leadingedge firmware,Andrew Adams,Fantasy,08/10/96
86,Business-focused fresh-thinking installation,Kerry Warren,Thriller,05/04/94
87,User-centric local Graphic Interface,Andrew Adams,Romance,14/01/94
88,Visionary directional conglomeration,Kerry Warren,Mystery,23/07/30
89,Secured maximized database,Kerry Warren,Romance,20/07/62
90,Fundamental disintermediate open system,Michael Johnson,Horror,02/01/93
91,Fundamental radical project,Danielle Lee,Romance,30/12/34
92,Self-enabling context-sensitive open architecture,Danielle Lee,Romance,03/05/83
93,Cross-platform 6thgeneration benchmark,Danielle Lee,Science Fiction,14/05/42
94,Multi-tiered scalable contingency,Andrew Adams,Mystery,01/05/53
95,Profound directional migration,Michael Johnson,Science Fiction,06/11/82
96,Compatible multi-tasking definition,Danielle Lee,Thriller,29/07/85
97,Pre-emptive homogeneous throughput,Michael Johnson,Thriller,03/10/75
98,Fully-configurable bottom-line parallelism,Michael Johnson,Thriller,07/04/12
99,Profit-focused cohesive toolset,Kerry Warren,Science Fiction,10/06/62
100,Quality-focused 6thgeneration data-warehouse,Danielle Lee,Science Fiction,04/05/67
101,Total interactive matrix,Michael Johnson,Fantasy,18/06/19
102,Re-engineered 24hour project,Danielle Lee,Horror,19/05/79
103,Seamless optimizing secured line,Andrew Adams,Romance,30/07/92
104,Inverse homogeneous architecture,Kerry Warren,Romance,15/06/16
105,Versatile solution-oriented parallelism,Andrew Adams,Fantasy,18/11/80
106,Ameliorated actuating service-desk,Danielle Lee,Romance,25/06/37
107,Innovative contextually-based flexibility,Kerry Warren,Fantasy,16/11/32
108,Virtual holistic synergy,Kerry Warren,Romance,30/05/17
109,Cloned logistical archive,Kerry Warren,Thriller,12/09/60
110,Multi-layered clear-thinking challenge,Andrew Adams,Mystery,20/09/09
111,Advanced multimedia solution,Andrew Adams,Fantasy,21/09/15
112,Ergonomic solution-oriented installation,Danielle Lee,Thriller,13/02/25
113,Down-sized optimizing parallelism,Danielle Lee,Thriller,26/09/04
114,Persevering dynamic archive,Andrew Adams,Mystery,01/04/31
115,Phased tangible utilization,Michael Johnson,Science Fiction,18/01/50
116,Fully-configurable bi-directional solution,Kerry Warren,Romance,02/12/17
117,Phased asynchronous system engine,Kerry Warren,Horror,01/05/34
118,Advanced leadingedge matrix,Michael Johnson,Romance,21/01/85
119,De-engineered discrete toolset,Andrew Adams,Mystery,31/08/34
120,Multi-tiered demand-driven encryption,Kerry Warren,Mystery,11/02/24
121,User-centric zero administration focus group,Kerry Warren,Fantasy,20/06/85
122,Proactive encompassing info-mediaries,Kerry Warren,Fantasy,02/02/55
123,Horizontal homogeneous groupware,Danielle Lee,Thriller,08/06/93
124,Digitized mobile capability,Danielle Lee,Science Fiction,06/11/24
125,Visionary neutral approach,Michael Johnson,Romance,16/08/44
126,Synergized actuating middleware,Andrew Adams,Mystery,04/04/35
127,Cross-platform composite challenge,Kerry Warren,Fantasy,17/03/09
128,Multi-tiered high-level knowledge user,Danielle Lee,Thriller,19/07/92
129,Optional leadingedge task-force,Michael Johnson,Thriller,22/09/69
130,Adaptive user-facing hub,Andrew Adams,Science Fiction,07/06/35
131,Vision-oriented 5thgeneration data-warehouse,Michael Johnson,Horror,23/09/22
132,Robust demand-driven orchestration,Michael Johnson,Fantasy,23/10/83
133,Versatile disintermediate alliance,Andrew Adams,Horror,03/01/14
134,Balanced composite focus group,Kerry Warren,Romance,03/01/35
135,Expanded client-driven superstructure,Andrew Adams,Horror,24/05/83
136,Polarized real-time analyzer,Andrew Adams,Mystery,02/01/43
137,Devolved asynchronous data-warehouse,Danielle Lee,Science Fiction,16/05/04
138,Re-contextualized real-time system engine,Michael Johnson,Romance,19/11/40
139,Networked stable toolset,Michael Johnson,Science Fiction,17/03/72
140,User-friendly multi-tasking monitoring,Andrew Adams,Fantasy,24/04/94
141,Cross-platform solution-oriented artificial intelligence,Michael Johnson,Romance,25/08/71
142,Persevering bifurcated Graphical User Interface,Michael Johnson,Fantasy,12/10/92
143,Diverse multi-state conglomeration,Kerry Warren,Fantasy,02/06/20
144,Multi-channeled 24/7 secured line,Michael Johnson,Fantasy,17/12/02
145,Seamless interactive solution,Andrew Adams,Romance,20/03/17
146,Digitized neutral frame,Michael Johnson,Fantasy,28/12/21
147,Triple-buffered tangible application,Michael Johnson,Fantasy,12/05/10
148,Team-oriented scalable initiative,Danielle Lee,Horror,14/05/31
149,Stand-alone optimizing website,Michael Johnson,Science Fiction,23/03/10
150,Front-line attitude-oriented knowledgebase,Andrew Adams,Romance,17/10/42
151,Distributed cohesive artificial intelligence,Michael Johnson,Horror,09/08/23
152,Assimilated optimizing website,Michael Johnson,Romance,14/04/97
153,Synergistic radical synergy,Michael Johnson,Science Fiction,03/02/55
154,Networked optimal software,Danielle Lee,Thriller,17/08/84
155,Assimilated intangible approach,Kerry Warren,Science Fiction,26/01/88
156,Front-line 5thgeneration frame,Michael Johnson,Romance,02/05/57
157,Inverse executive structure,Danielle Lee,Fantasy,06/04/83
158,Face-to-face background budgetary management,Michael Johnson,Romance,15/11/63
159,Distributed mobile workforce,Michael Johnson,Mystery,05/11/17
160,Upgradable radical archive,Andrew Adams,Romance,16/12/95
161,Multi-lateral tertiary projection,Danielle Lee,Horror,20/10/19
162,Ameliorated directional leverage,Kerry Warren,Mystery,18/07/58
163,Realigned optimal interface,Danielle Lee,Horror,01/06/25
164,Public-key optimal access,Danielle Lee,Horror,03/09/35
165,Robust 5thgeneration open architecture,Michael Johnson,Mystery,29/03/14
166,Streamlined solution-oriented utilization,Danielle Lee,Horror,30/06/67
167,Robust local moratorium,Danielle Lee,Thriller,01/10/46
168,Organic non-volatile adapter,Danielle Lee,Science Fiction,29/11/48
169,Reactive non-volatile projection,Danielle Lee,Romance,21/08/86
170,Cloned fresh-thinking core,Danielle Lee,Romance,29/11/50
171,Universal asymmetric protocol,Michael Johnson,Romance,16/03/31
172,Assimilated human-resource adapter,Danielle Lee,Thriller,16/04/29
173,Triple-buffered composite matrices,Michael Johnson,Science Fiction,30/11/86
174,Adaptive transitional encryption,Andrew Adams,Mystery,02/12/18
175,Managed national flexibility,Danielle Lee,Horror,01/05/56
176,Monitored zero-defect attitude,Andrew Adams,Science Fiction,23/06/30
177,Horizontal content-based info-mediaries,Kerry Warren,Horror,05/06/37
178,Face-to-face radical Graphic Interface,Kerry Warren,Horror,24/08/29
179,Persevering encompassing project,Michael Johnson,Fantasy,16/08/91
180,Focused background interface,Andrew Adams,Romance,27/03/97
181,Progressive intermediate forecast,Kerry Warren,Mystery,04/03/69
182,Profit-focused tertiary productivity,Michael Johnson,Thriller,02/10/54
183,Mandatory user-facing model,Michael Johnson,Romance,14/08/67
184,Front-line upward-trending capability,Danielle Lee,Horror,20/07/40
185,Fully-configurable content-based matrices,Michael Johnson,Horror,18/10/46
186,Cross-group directional protocol,Andrew Adams,Horror,14/01/27
187,Multi-lateral bifurcated monitoring,Andrew Adams,Thriller,12/07/31
188,Focused fresh-thinking interface,Andrew Adams,Horror,18/11/27
189,Optional 3rdgeneration database,Michael Johnson,Horror,09/06/48
190,Face-to-face optimizing groupware,Danielle Lee,Mystery,21/12/76
191,Enterprise-wide mission-critical Internet solution,Andrew Adams,Romance,07/04/78
192,Reverse-engineered solution-oriented encryption,Michael Johnson,Science Fiction,21/09/21
193,Object-based even-keeled moratorium,Michael Johnson,Science Fiction,07/03/20
194,Polarized high-level benchmark,Michael Johnson,Fantasy,14/04/96
195,Quality-focused multimedia hierarchy,Danielle Lee,Horror,11/01/33
196,Enhanced global application,Michael Johnson,Fantasy,11/02/92
197,Business-focused composite portal,Michael Johnson,Romance,31/07/91
198,Grass-roots coherent circuit,Danielle Lee,Fantasy,13/12/89
199,Future-proofed needs-based secured line,Danielle Lee,Fantasy,15/10/73
200,Organized transitional software,Andrew Adams,Fantasy,12/05/33
201,Seamless demand-driven productivity,Kerry Warren,Romance,09/06/63
202,Total multi-state model,Kerry Warren,Romance,09/07/05
203,Centralized transitional strategy,Michael Johnson,Thriller,28/07/56
204,Triple-buffered human-resource Graphical User Interface,Kerry Warren,Horror,18/08/98
205,Switchable coherent infrastructure,Danielle Lee,Mystery,04/04/59
206,Multi-tiered 24hour throughput,Kerry Warren,Thriller,08/06/92
207,Vision-oriented background array,Danielle Lee,Horror,27/09/66
208,Expanded 24hour task-force,Danielle Lee,Thriller,28/06/54
209,Sharable encompassing hardware,Andrew Adams,Horror,20/06/07
210,Organized object-oriented throughput,Kerry Warren,Mystery,26/10/31
211,Networked full-range workforce,Danielle Lee,Thriller,13/05/21
212,Cross-group 5thgeneration utilization,Danielle Lee,Mystery,18/10/29
213,Mandatory eco-centric website,Danielle Lee,Romance,27/05/74
214,Open-architected bifurcated process improvement,Michael Johnson,Romance,16/09/04
215,Self-enabling stable Graphic Interface,Kerry Warren,Fantasy,11/02/31
216,Proactive bottom-line extranet,Andrew Adams,Romance,27/12/42
217,Streamlined zero-defect service-desk,Danielle Lee,Romance,01/03/66
218,Fundamental intangible conglomeration,Michael Johnson,Horror,14/11/10
219,Multi-tiered systematic hardware,Michael Johnson,Romance,06/07/27
220,Configurable optimizing flexibility,Andrew Adams,Mystery,15/08/32
221,Versatile global definition,Andrew Adams,Fantasy,12/10/96
222,Progressive responsive strategy,Andrew Adams,Romance,08/05/15
223,Optional dedicated middleware,Kerry Warren,Fantasy,18/11/55
224,Distributed mobile implementation,Kerry Warren,Mystery,21/04/05
225,Horizontal optimizing standardization,Andrew Adams,Horror,19/12/03
226,Operative leadingedge installation,Danielle Lee,Horror,18/08/92
227,Configurable impactful website,Andrew Adams,Horror,14/04/52
228,Fundamental national product,Danielle Lee,Horror,13/12/14
229,Distributed systemic attitude,Andrew Adams,Mystery,25/10/29
230,Up-sized value-added core,Danielle Lee,Horror,22/02/50
231,Fundamental analyzing process improvement,Andrew Adams,Thriller,26/03/07
232,Open-source user-facing interface,Michael Johnson,Romance,01/04/12
233,Object-based global parallelism,Kerry Warren,Mystery,25/11/84
234,Re-contextualized directional moderator,Andrew Adams,Science Fiction,22/11/82
235,Reverse-engineered discrete info-mediaries,Michael Johnson,Horror,05/05/57
236,Total zero-defect time-frame,Andrew Adams,Fantasy,23/06/81
237,Team-oriented static flexibility,Kerry Warren,Horror,18/12/55
238,Stand-alone high-level Internet solution,Kerry Warren,Thriller,24/11/18
239,Future-proofed 5thgeneration circuit,Danielle Lee,Science Fiction,24/06/25
240,Multi-channeled scalable secured line,Kerry Warren,Romance,26/05/40
241,Polarized hybrid Internet solution,Michael Johnson,Mystery,05/09/76
242,Cross-group homogeneous matrix,Danielle Lee,Romance,26/10/31
243,Adaptive zero administration project,Danielle Lee,Mystery,27/12/46
244,Fundamental responsive info-mediaries,Michael Johnson,Mystery,06/01/70
245,Automated web-enabled implementation,Danielle Lee,Romance,17/04/64
246,Enhanced tangible matrix,Michael Johnson,Science Fiction,01/10/38
247,Optional impactful software,Andrew Adams,Science Fiction,29/07/25
248,Visionary executive service-desk,Danielle Lee,Horror,13/09/33
249,Re-engineered methodical projection,Danielle Lee,Horror,18/06/95
250,Visionary dedicated algorithm,Kerry Warren,Mystery,18/05/55
251,Reduced 6thgeneration policy,Kerry Warren,Horror,17/03/61
252,Face-to-face interactive flexibility,Andrew Adams,Mystery,01/09/01
253,Compatible impactful customer loyalty,Kerry Warren,Mystery,02/11/41
254,Advanced intangible extranet,Michael Johnson,Science Fiction,14/12/34
255,Cross-platform cohesive migration,Danielle Lee,Science Fiction,03/05/74
256,User-centric context-sensitive knowledge user,Kerry Warren,Romance,28/10/52
257,Persistent tangible success,Kerry Warren,Romance,15/10/17
258,Balanced actuating Graphical User Interface,Andrew Adams,Horror,29/10/90
259,Organic heuristic monitoring,Andrew Adams,Science Fiction,03/02/56
260,Optimized eco-centric strategy,Michael Johnson,Fantasy,08/10/84
261,Customer-focused heuristic time-frame,Danielle Lee,Fantasy,29/10/96
262,Synergized modular approach,Andrew Adams,Mystery,24/10/57
263,Persevering radical open architecture,Andrew Adams,Horror,18/06/95
264,Synergistic stable Graphic Interface,Michael Johnson,Thriller,30/11/65
265,Programmable coherent paradigm,Danielle Lee,Fantasy,01/11/00
266,Balanced executive task-force,Michael Johnson,Science Fiction,07/04/97
267,Visionary global architecture,Danielle Lee,Mystery,14/07/99
268,Open-architected heuristic approach,Andrew Adams,Fantasy,26/01/65
269,Polarized actuating extranet,Danielle Lee,Horror,14/08/53
270,Compatible 24/7 workforce,Danielle Lee,Mystery,22/09/03
271,Right-sized methodical protocol,Andrew Adams,Thriller,11/08/95
272,Synergistic mission-critical workforce,Michael Johnson,Science Fiction,06/11/34
273,Seamless bottom-line task-force,Michael Johnson,Fantasy,28/07/59
274,Multi-lateral user-facing complexity,Danielle Lee,Romance,03/02/03
275,Managed solution-oriented alliance,Michael Johnson,Horror,04/04/11
276,Organic modular throughput,Andrew Adams,Horror,15/01/94
277,Open-source bi-directional policy,Kerry Warren,Science Fiction,03/09/27
278,Profound optimizing paradigm,Kerry Warren,Thriller,04/08/45
279,Synergized foreground workforce,Danielle Lee,Fantasy,10/03/95
280,Versatile transitional instruction set,Kerry Warren,Horror,04/09/36
281,Open-source incremental productivity,Andrew Adams,Science Fiction,18/12/05
282,Secured regional structure,Danielle Lee,Thriller,03/03/93
283,Robust stable solution,Danielle Lee,Fantasy,10/01/29
284,Re-engineered asymmetric success,Andrew Adams,Fantasy,25/08/34
285,Public-key user-facing synergy,Michael Johnson,Fantasy,09/06/04
286,Secured global throughput,Andrew Adams,Horror,09/07/09
287,Progressive 6thgeneration infrastructure,Andrew Adams,Thriller,24/07/02
288,Re-contextualized needs-based synergy,Danielle Lee,Romance,10/05/46
289,Balanced scalable monitoring,Andrew Adams,Romance,03/07/92
290,Seamless systematic projection,Kerry Warren,Fantasy,21/01/80
291,User-centric solution-oriented emulation,Michael Johnson,Mystery,11/10/47
292,Visionary maximized matrices,Kerry Warren,Horror,29/05/26
293,Operative responsive extranet,Andrew Adams,Thriller,08/10/60
294,Multi-channeled demand-driven focus group,Michael Johnson,Science Fiction,05/10/96
295,Optional coherent portal,Michael Johnson,Thriller,18/06/21
296,Face-to-face multi-tasking synergy,Michael Johnson,Science Fiction,07/03/08
297,Exclusive zero administration complexity,Kerry Warren,Romance,14/08/01
298,Fully-configurable optimal flexibility,Michael Johnson,Science Fiction,22/10/48
299,Intuitive hybrid knowledge user,Andrew Adams,Science Fiction,06/11/93
300,Phased web-enabled functionalities,Michael Johnson,Science Fiction,08/04/53
301,Polarized 3rdgeneration methodology,Michael Johnson,Romance,11/04/52
302,Reactive regional migration,Kerry Warren,Fantasy,31/10/48
303,Focused zero-defect help-desk,Michael Johnson,Romance,12/08/71
304,Team-oriented dedicated info-mediaries,Andrew Adams,Horror,29/11/48
305,Proactive 24hour instruction set,Danielle Lee,Horror,21/11/81
306,Customer-focused 24/7 matrices,Danielle Lee,Science Fiction,24/04/77
307,Quality-focused bandwidth-monitored workforce,Danielle Lee,Mystery,24/12/35
308,Optional demand-driven focus group,Andrew Adams,Fantasy,13/01/54
309,Down-sized impactful analyzer,Danielle Lee,Fantasy,07/08/58
310,Business-focused clear-thinking hierarchy,Michael Johnson,Mystery,26/07/21
311,Diverse reciprocal strategy,Michael Johnson,Fantasy,03/09/05
312,Synergized logistical hardware,Danielle Lee,Horror,09/02/87
313,Sharable fault-tolerant archive,Andrew Adams,Thriller,15/03/71
314,Monitored bandwidth-monitored utilization,Kerry Warren,Fantasy,15/02/60
315,Re-contextualized full-range array,Michael Johnson,Horror,25/06/87
316,Enterprise-wide discrete groupware,Michael Johnson,Fantasy,14/11/04
317,Fundamental content-based synergy,Andrew Adams,Thriller,05/06/65
318,Horizontal tangible Internet solution,Danielle Lee,Thriller,24/06/18
319,Cross-group content-based paradigm,Michael Johnson,Fantasy,27/09/19
320,Progressive clear-thinking solution,Michael Johnson,Fantasy,01/12/57
321,Assimilated systematic ability,Andrew Adams,Thriller,30/04/67
322,Down-sized intermediate forecast,Michael Johnson,Thriller,15/12/11
323,Self-enabling composite knowledgebase,Michael Johnson,Thriller,17/04/63
324,Robust cohesive open system,Michael Johnson,Fantasy,19/09/01
325,Assimilated stable circuit,Andrew Adams,Romance,21/03/19
326,Advanced bifurcated installation,Michael Johnson,Fantasy,07/05/14
327,Organized 6thgeneration Graphical User Interface,Kerry Warren,Thriller,21/06/40
328,Down-sized human-resource installation,Kerry Warren,Science Fiction,04/02/30
329,Cross-platform human-resource monitoring,Kerry Warren,Fantasy,06/03/11
330,Multi-layered mobile knowledgebase,Kerry Warren,Fantasy,05/06/76
331,Function-based solution-oriented standardization,Kerry Warren,Thriller,11/11/32
332,Enterprise-wide transitional migration,Michael Johnson,Mystery,26/10/13
333,Reverse-engineered user-facing application,Michael Johnson,Romance,18/04/64
334,Quality-focused logistical project,Kerry Warren,Science Fiction,28/11/07
